tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magpsf_corr_ext,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,sigmagap_corr,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,candid_alert,step_id_corr,phase,parent_candid
"ztf",58970.29692129977,"1216296920215015002",1,1216296920215,20.4307,1,1216,0.34337,20.4128,18.58738,"",20.2146,"",0.278877,0.021594986,0.051909227,0.327,"",230.5190486,30.0487654,0.888571,"t17_f5_c3","",20.6261,0.6068,"",false,true,false,"","bulk_1.0.0",0,1225300450215015000
"ztf",58970.39892360009,"1216398920215015003",2,1216398920215,20.786072,1,1216,0.1811532,20.540346,18.204708,"",20.5256,"",0.20450248,100,0.023792688,0.3535,"",230.5191265,30.0487903,0.8657143,"t17_f5_c3",0.99989974,20.4823,0.4253,677120202,false,true,false,"","bulk_1.0.0",0,1225300450215015000
"ztf",58971.38226850005,"1217382260215015000",2,1217382260215,20.279396,1,1217,0.5043932,19.841816,18.096258,"",20.0207,"",0.14038107,100,0.028124545,0.3336,"",230.5190695,30.0487098,0.93,"t17_f5_c3",0.99999714,19.9207,0.3865,677120202,false,true,false,"","bulk_1.0.0",0,1225300450215015000
"ztf",58971.422048599925,"1217422040215015009",1,1217422040215,20.637663,1,1217,0.38957396,19.724625,18.421846,"",19.6981,"",0.15265158,0.02172011,0.045982238,0.1646,"",230.5190774,30.0487583,0.9457143,"t17_f5_c3",0.9999997,19.5043,0.1739,677120102,false,true,false,"","bulk_1.0.0",0,1225300450215015000
"ztf",58972.40537039982,"1218405370215015002",2,1218405370215,19.7171,1,1218,0.350069,19.6233,18.048815,"",18.7967,"",0.196773,100,0.04614997,0.1977,"",230.519046,30.0487666,0.524286,"t17_f5_c3","",18.6222,0.2153,"",false,true,false,"","bulk_1.0.0",0,1225300450215015000
"ztf",58973.33040509978,"1219330400215015003",2,1219330400215,19.874128,1,1219,0.24373084,19.446388,18.004662,"",19.5058,"",0.14508781,100,0.038453896,0.2905,"",230.5190884,30.0487783,0.97,"t17_f5_c3",0.99999,19.5307,0.3799,677120202,false,true,false,"","bulk_1.0.0",0,1225300450215015000
"ztf",58974.27785879979,"1220277850215015000",2,1220277850215,19.718527,1,1220,0.5147448,19.082281,17.895666,"",18.9245,"",0.11513395,100,0.03859732,0.2063,"",230.5190097,30.0487313,0.95714283,"t17_f5_c3",0.99988514,18.9003,0.258,677120202,false,true,false,"","bulk_1.0.0",0,1225300450215015000
"ztf",58974.319363399874,"1220319360215015001",2,1220319360215,19.655546,1,1220,0.4690686,19.161743,17.921661,"",19.1061,"",0.1357326,100,0.04331632,0.2419,"",230.5190256,30.0487362,0.9685714,"t17_f5_c3",0.99940443,18.975,0.2743,677120202,false,true,false,"","bulk_1.0.0",0,1225300450215015000
"ztf",58974.45178239979,"1220451780215015001",1,1220451780215,19.482483,1,1220,0.49037734,18.929958,18.116276,"",18.9284,"",0.13631833,0.05670561,0.064429,0.2182,"",230.5190918,30.0487354,0.96,"t17_f5_c3",0.9999725,19.2844,0.3873,677120102,false,true,false,"","bulk_1.0.0",0,1225300450215015000
"ztf",58975.252847199794,"1221252840215015002",1,1221252840215,19.40359,1,1221,0.37577316,18.674131,17.987835,"",18.332,"",0.10708002,0.050003175,0.056910213,0.1472,"",230.5190227,30.0487562,0.86714286,"t17_f5_c3",0.9999247,18.3198,0.1864,677120102,false,true,false,"","bulk_1.0.0",0,1225300450215015000
"ztf",58975.27282410022,"1221272820215015001",1,1221272820215,19.266998,1,1221,0.2569585,18.717894,18.010874,"",18.4944,"",0.1347868,0.06456772,0.07028129,0.1759,"",230.5190465,30.0487903,0.94,"t17_f5_c3",0.9999115,18.52,0.231,677120102,false,true,false,"","bulk_1.0.0",0,1225300450215015000
"ztf",58976.30380789982,"1222303800215015000",2,1222303800215,19.229294,1,1222,0.4063409,18.721146,17.76077,"",18.7512,"",0.12460064,0.0098826075,0.05144825,0.2519,"",230.5190235,30.0487643,0.7614286,"t17_f5_c3",0.99999195,18.8829,0.3647,677120202,false,true,false,"","bulk_1.0.0",0,1225300450215015000
"ztf",58976.33218749985,"1222332180215015001",2,1222332180215,18.979343,1,1222,0.4684273,18.559677,17.691168,"",18.5474,"",0.1314291,0.035291657,0.05905919,0.2688,"",230.5190297,30.0487352,0.95714283,"t17_f5_c3",0.9991815,18.7371,0.4107,677120202,false,true,false,"","bulk_1.0.0",0,1225300450215015000
