tid,mjd,fid,diffmaglim
"ztf",58940.45723380009,2,17.8972
"ztf",58941.477592600044,1,20.6787
"ztf",58943.46576389996,2,20.1935
"ztf",58944.40285879979,2,19.6827
"ztf",58954.46266200021,2,20.1563
"ztf",58955.4010648001,1,20.6346
"ztf",58955.42337960005,2,20.3487
"ztf",58956.33370369999,2,20.6015
"ztf",58961.408703700174,2,20.1174
"ztf",58962.317268500105,2,20.442
"ztf",58963.30454860022,1,20.5169
"ztf",58964.3745833002,1,20.6703
"ztf",58964.40773149999,2,20.6206
"ztf",58965.34831020003,2,20.7069
"ztf",58965.40512729995,1,20.8065
"ztf",58966.3500926001,2,18.0795
"ztf",58966.40252309991,1,20.8056
"ztf",58967.276759299915,1,20.5474
"ztf",58967.35148150008,2,20.7305
"ztf",58968.31219909992,1,20.7523
"ztf",58968.38200230012,2,20.8354
"ztf",58969.386088000145,1,20.0061
"ztf",58975.384131900035,2,19.5175
"ztf",58977.2489120001,2,16.2902
"ztf",59000.321041699965,2,17.3561
"ztf",59028.204421299975,1,20.2936
"ztf",59029.187673599925,1,19.8448
"ztf",59033.24907410005,1,19.5043
"ztf",59034.19834489981,1,19.688
"ztf",59035.22255790001,1,19.4896
"ztf",59037.22734950017,1,19.8394
"ztf",59040.23412040016,1,20.7683
"ztf",59043.21552080009,1,20.7169
"ztf",59044.197488400154,1,20.7446
"ztf",59044.217951400205,2,20.6043
"ztf",59045.2537153,1,20.7502
"ztf",59046.22600689996,1,20.736
"ztf",59047.25777779985,1,20.6091
"ztf",59048.25732639991,1,20.5918
"ztf",59049.17438660003,2,20.5173
"ztf",59049.194513900205,1,20.7615
"ztf",59050.2060647998,1,20.6175
"ztf",59050.25972220022,2,20.3933
"ztf",59051.178437499795,1,20.5457
