
ZTFID,IAUID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V
ZTF17aaahrni,AT2016dxt,05:21:41.58,-04:11:10.4,1155.90,g,17.1049,-,7.667,0.86,6.807,CV,-,-21.84195955,0.827
ZTF17aaaikab,AT2019bgj,07:44:31.43,+48:26:30.4,1122.01,g,15.7679,-,>299.783,>294.2,5.583,CV,-,28.47279154,0.155
ZTF17aaaocpq,AT2018gsn,05:54:53.60,+46:26:21.6,892.78,r,14.8478,-,101.54,74.182,27.358,AGN,-,10.40718271,0.585
ZTF17aaaukqn,AT2018fsl,01:48:53.10,+54:21:44.5,364.91,g,17.1019,-,8.202,1.215,6.987,CV,-,-7.57148894,0.484
ZTF17aaavjfv,AT2019uxc,05:22:59.10,+19:28:14.0,798.80,r,18.5274,-,9.724,2.769,6.955,CV,-,-9.43183139,1.267
ZTF18aaabltn,AT2018gkr,08:17:26.41,+10:12:10.1,900.70,r,17.2781,-,>28.059,16.059,>12,AGN,-,23.69093082,0.082
ZTF18aaakpoh,AT2018ldx,01:40:24.35,+38:24:09.6,1624.66,r,17.9524,-,>107.277,>1.96,105.317,AGN,-,-23.4744085,0.157
ZTF18aaaorhy,AT2018lvl,13:11:40.68,+56:08:35.0,1200.95,g,18.229,-,297.826,206.251,91.575,AGN,-,60.75791014,0.041
ZTF18aaaphrw,-,05:30:12.68,+19:18:05.0,1291.69,r,17.0814,-,9.746,2.606,7.14,CV,-,-8.09321675,1.341
ZTF18aabfxpw,AT2018kfz,05:06:44.48,+54:01:22.4,471.76,r,17.302,-,10.819,2.113,8.706,CV,-,7.95441004,1.35
ZTF18aabiote,AT2018gxf,07:25:08.31,+11:55:21.6,1639.67,g,16.9147,-,>0.02,>0.02,>0,CV,-,12.81416133,0.192
ZTF18aabkjfv,AT2018iee,07:36:57.02,+58:46:13.4,431.88,r,17.1449,-,>19.802,>9,10.802,AGN,-,28.74703387,0.16
ZTF18aabvmws,AT2018hvu,11:42:52.24,+26:32:26.4,427.04,r,18.0756,-,>3.05,>3.05,>0,AGN?,-,74.70470098,0.067
ZTF18aabvpbb,AT2018gqq,08:12:36.58,+16:19:44.9,864.71,g,17.5165,-,>7.055,>0,>7.055,CV,-,25.11387025,0.097
ZTF18aacdydz,AT2018joc,09:35:45.07,+32:01:59.1,1684.82,r,17.9207,-,>46.95,>13,>33.95,AGN,-,47.52904754,0.05
ZTF18aachojf,AT2017bn,08:39:49.65,+48:47:01.4,243.66,r,17.995,-,>209.319,20.969,>188.35,AGN,-,37.59822258,0.085
ZTF18aaddhpb,-,09:39:39.71,+37:57:05.9,876.86,g,18.4905,-,30.851,20.962,9.889,AGN,-,48.63573268,0.049
ZTF18aadnqwz,-,06:36:01.10,+50:42:15.5,359.97,r,18.2041,-,33.06,8.227,24.833,AGN,-,18.36003714,0.324
ZTF18aadygpb,AT2018gtf,06:16:23.45,+43:56:30.3,431.87,r,18.8873,-,57.823,57.803,0.02,AGN?,-,12.63892492,0.491
ZTF18aaeauzu,AT2019crc,10:19:49.49,+33:22:03.7,534.87,r,16.5068,-,>39.849,>0,>39.849,AGN,-,56.8541039,0.075
ZTF18aaeraoq,AT2018lva,10:33:59.47,+35:55:09.1,770.99,r,18.6454,-,403.499,319.975,83.524,AGN,-,59.59567216,0.061
ZTF18aafeiiy,AT2019ln,08:37:32.70,+28:42:18.7,1201.95,r,18.065,-,33.757,8.284,25.473,AGN,-,34.58614537,0.121
ZTF18aafjeeu,AT2019bvm,10:14:10.46,+42:23:47.5,618.71,r,18.1984,-,>83.84,>83.84,>0,AGN,-,54.68085738,0.044
ZTF18aaflcyp,AT2018kgy,08:47:23.87,+11:21:54.0,480.92,r,18.2477,-,57.395,10.971,46.424,AGN,-,30.84623644,0.091
ZTF18aagqhrw,AT2016iaz,06:43:39.56,+21:09:58.6,890.73,g,17.9492,-,>5.19,>0.07,>5.12,CV,-,7.84441603,0.343
ZTF18aagrsry,AT2018cvo,13:19:37.81,+40:23:09.8,558.72,r,18.3808,-,>341.461,>340.93,0.531,AGN,-,75.517971,0.046
ZTF18aaheszr,AT2018ifz,09:23:43.00,+22:54:32.5,1496.97,r,15.198,-,>247.71,>24.96,>222.75,AGN,-,43.07854983,0.12
ZTF18aahfohe,AT2018bbm,12:16:07.10,+50:49:29.7,575.87,r,16.2379,-,324.336,107.18,217.156,AGN,-,65.37068916,0.07
ZTF18aahjbii,-,13:00:22.18,+28:24:02.7,1526.03,r,17.4019,-,>98.123,>0.002,>98.121,AGN,-,87.64999092,0.029
ZTF18aahjdnz,AT2018lvi,13:18:23.77,+33:47:37.3,245.69,r,18.999,-,26.14,21.789,4.351,AGN,-,81.16326555,0.039
ZTF18aahjjuh,AT2018jcn,14:17:00.81,+44:56:06.4,449.06,r,17.7565,-,>44.803,>0.05,>44.753,AGN,-,65.32375548,0.024
ZTF18aahmkac,AT2019blw,11:58:18.01,+10:03:22.5,543.80,g,18.8292,-,68.879,19.152,49.727,AGN,-,68.82595666,0.076
ZTF18aahpbal,AT2018luo,09:36:41.04,+10:14:16.0,221.70,r,17.9762,-,>348.15,>7.01,>341.14,AGN,-,41.24026842,0.094
ZTF18aahqrur,AT2018lho,09:47:33.24,+10:05:08.7,1693.69,r,18.0229,-,>187.777,162.727,>25.05,AGN,-,43.53952802,0.074
ZTF18aahtkze,AT2018bje,11:14:19.24,+34:28:43.7,911.75,r,18.6347,-,>36.882,3.782,>33.1,AGN,-,67.95546193,0.049
ZTF18aahtnlt,AT2018ihf,11:45:10.26,+30:47:17.1,908.83,g,17.6845,-,63.125,3.792,59.333,AGN,-,75.06606409,0.06
ZTF18aahvcby,AT2018bjn,12:16:00.02,+12:41:14.0,230.73,r,18.0218,-,25.643,10.168,15.475,AGN,-,73.34457703,0.096
ZTF18aahxamc,AT2018irk,11:53:26.24,+35:56:53.6,434.97,r,18.2325,-,>19.687,>10.98,8.707,AGN,-,74.8456686,0.06
ZTF18aaixulp,AT2018eaf,17:27:23.45,+31:57:41.4,973.97,g,17.1206,-,>6.251,>0.09,>6.161,CV,-,30.80474185,0.116
ZTF18aajarpg,-,15:54:40.28,+36:29:51.9,1064.70,g,18.6956,-,>218.627,152.667,>65.96,AGN,-,50.34711916,0.057
ZTF18aajiwdu,AT2018lux,12:06:29.68,+43:32:19.0,991.68,g,18.6146,-,655.102,479.412,175.69,AGN,-,71.24415791,0.039
ZTF18aajnqmp,AT2018cce,13:15:55.17,+21:25:21.5,1551.03,r,17.7627,-,287.62,201.589,86.031,AGN,-,82.02282533,0.081
ZTF18aajupnt,AT2018dyk,15:33:08.02,+44:32:08.3,326.67,g,18.6561,-,>110.619,48.639,>61.98,AGN,-,53.39376746,0.055
ZTF18aakaaza,AT2018bjd,08:21:04.64,+41:21:08.5,227.66,r,18.8476,-,>23.051,2.991,>20.06,AGN,-,33.77656511,0.139
ZTF18aakehpc,AT2018fsv,13:45:21.02,+53:33:40.0,363.66,g,17.8802,-,>10.385,10.385,>0,AGN,-,61.75094466,0.028
ZTF18aakgzwi,AT2019agf,16:21:45.09,+54:27:23.6,855.08,r,17.3106,-,>18.908,>3.02,15.888,AGN,-,43.26848951,0.026
ZTF18aakkvea,AT2018lvn,13:14:04.99,+15:30:54.3,1540.05,r,17.428,-,>321.7,221.94,>99.76,AGN,-,77.25091038,0.065
ZTF18aakvxqj,AT2018gsw,17:04:05.74,+66:49:59.2,909.04,g,17.7237,-,>6.035,>0.05,>5.985,CV,-,35.25935102,0.079
ZTF18aalataf,AT2018lun,18:22:35.64,+41:48:13.6,1683.99,g,16.8486,-,>9.823,>0.08,>9.743,CV,-,22.78215154,0.203
ZTF18aalsiji,AT2018lns,14:50:26.66,+58:39:44.8,1383.71,r,17.8063,-,15.887,15.874,0.013,AGN,-,52.3088933,0.031
ZTF18aamfsxv,AT2018mr,14:28:11.38,+16:28:51.8,1427.68,r,18.1195,-,>8.815,8.745,>0.07,AGN,-,65.21105527,0.07
ZTF18aamgcbt,AT2018ddt,14:11:05.91,+41:09:20.8,311.68,r,18.8122,-,>15.951,10.961,>4.99,AGN,-,68.45155907,0.027
ZTF18aammlba,AT2018gqu,18:51:52.58,+42:34:57.6,1044.85,g,18.4502,-,6.761,2.009,4.752,CV,-,17.8960706,0.251
ZTF18aamxzjx,AT2018ffh,15:19:21.65,+59:08:23.6,470.01,g,16.723,-,>4.702,>0,>4.702,AGN,-,49.12227022,0.028
ZTF18aamyexb,-,12:32:37.47,+66:24:52.3,257.75,r,18.052,-,>37.832,9.852,>27.98,AGN,-,50.60530208,0.045
ZTF18aanlzzf,AT2021aeuk,16:12:59.83,+42:19:40.2,731.63,r,17.9269,-,>136.338,69.368,>66.97,AGN,-,46.5976162,0.039
ZTF18aaojsvk,AT2018igb,18:24:08.87,+46:40:17.1,575.97,r,17.2731,-,32.083,2.978,29.105,AGN,-,23.84389385,0.137
ZTF18aaqdlxt,AT2018cvz,11:36:50.10,+25:50:52.4,295.74,r,18.9223,-,>13.763,13.763,>0,AGN,-,73.2735432,0.064
ZTF18aaqduja,AT2018ciu,13:20:42.77,+60:15:25.7,375.62,r,17.1966,-,139.13,38.781,100.349,AGN,-,56.49597582,0.058
ZTF18aaqiivp,AT2018ebb,18:32:49.70,+53:40:21.9,1044.85,g,16.8216,-,143.736,60.344,83.392,AGN,-,24.21277724,0.097
