tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magpsf_corr_ext,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,sigmagap_corr,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,candid_alert,step_id_corr,phase,parent_candid
"ztf",58248.293263900094,"494293260515010107",2,494293260515,20.2338,-1,494,0.798053,20.1604,18.765167,"",20.1504,"",0.123371,100,0.03412868,0.1478,"",217.0473577,16.4810071,0.166667,"","",19.3004,0.1452,"",false,true,false,"","bulk_1.0.0",0,522194250515010000
"ztf",58255.26062500011,"501260620515010000",2,501260620515,20.5627,-1,501,0.717283,20.2346,18.745504,"",19.8026,"",0.191607,100,0.048615344,0.2033,"",217.0473997,16.4810642,0.093333,"","",19.7518,0.2469,"",false,true,false,"","bulk_1.0.0",0,522194250515010000
"ztf",58276.1942592999,"522194250515010000",2,522194250515,20.677515,-1,522,0.5840231,19.954857,18.829643,"",20.0916,"",0.14240016,100,0.050515514,0.2629,"",217.0474161,16.4811439,0.7133333,"",0,19.9205,0.2854,580120205,false,true,false,"","bulk_1.0.0",0,525255600515010000
"ztf",58279.255601900164,"525255600515010000",2,525255600515,20.655293,-1,525,0.7735323,20.131691,18.773245,"",20.1513,"",0.16312619,100,0.046681527,0.2683,"",217.0474143,16.4810533,0.81333333,"",0,19.9623,0.2866,580120205,true,true,false,"","bulk_1.0.0",0,0
"ztf",58282.21541670011,"528215410515010003",2,528215410515,20.6172,-1,528,1.05703,20.4463,18.69777,"",20.2428,"",0.220677,100,0.044090435,0.291,"",217.0475244,16.4810572,0.653333,"","",19.8929,0.2677,"",false,true,false,"","bulk_1.0.0",0,558192990515015040
"ztf",58288.235682900064,"534235680515010002",2,534235680515,20.4264,-1,534,0.520884,20.434,18.700243,"",20.1887,"",0.294366,100,0.059619028,0.3247,"",217.0473981,16.4811528,0.723333,"","",20.0417,0.3621,"",false,true,false,"","bulk_1.0.0",0,558192990515015040
"ztf",58312.19299770007,"558192990515015010",2,558192990515,20.45285,1,558,0.64114773,19.53212,18.145199,"",19.4691,"",0.15943734,100,0.04444486,0.1769,"",217.0474109,16.4811016,0.7866667,"",0,19.7678,0.2947,580120205,true,true,false,"","bulk_1.0.0",0,0
"ztf",58345.1791782002,"591179170515015005",1,591179170515,20.32665,1,591,0.49997008,19.893253,18.57039,"",20.5432,"",0.18361261,0.04597912,0.0542947,0.4869,"",217.0474367,16.4810499,0.75,"t8_f5_c3",0,20.3517,0.5217,580120105,true,true,false,"","bulk_1.0.0",0,0
"ztf",58472.48734949995,"718487340515015006",1,718487340515,19.124,1,718,1.09761,19.5641,18.462263,"",19.5793,"",0.322029,0.11375948,0.11672389,0.4581,"",217.0476546,16.4810706,0.616667,"t12_f5_c3","",19.3964,0.4969,"",false,true,false,"","bulk_1.0.0",0,733505590515015000
"ztf",58475.49261569977,"721492610515015002",2,721492610515,19.242363,1,721,0.79885614,19.170101,18.031578,"",19.0472,"",0.21536003,0.058708273,0.075466834,0.2858,"",217.0474238,16.481049,0.71,"t8_f5_c3",0,19.2798,0.4542,580120205,false,true,false,"","bulk_1.0.0",0,733505590515015000
