tid,mjd,fid,diffmaglim
"ztf",58229.35884260014,2,20.674
"ztf",58232.24993060017,2,18.9121
"ztf",58242.31079859985,2,20.3708
"ztf",58245.33774309978,2,19.2744
"ztf",58248.293263900094,2,20.2338
"ztf",58258.250671300106,2,20.3821
"ztf",58261.298472200055,2,19.5013
"ztf",58267.31254629977,2,19.4851
"ztf",58270.30040509999,2,19.8801
"ztf",58285.19158559991,2,17.6704
"ztf",58291.237141199876,2,19.6678
"ztf",58294.25004629977,2,19.9057
"ztf",58297.27055560006,2,19.6062
"ztf",58300.1774420999,2,20.3622
"ztf",58306.172349500004,2,20.2578
"ztf",58315.23721060017,2,19.6738
"ztf",58327.162534699775,1,19.4359
"ztf",58331.16320599988,2,20.1503
"ztf",58334.15653940011,2,19.7357
"ztf",58334.17790509993,1,20.6552
"ztf",58337.17163190013,1,20.6128
"ztf",58337.202453699894,2,20.3702
"ztf",58480.53954860009,1,19.591
"ztf",58480.54682870023,2,19.5267
"ztf",58481.51998839993,2,19.71
"ztf",58567.377175900154,2,19.8009
"ztf",58572.36283560004,2,19.7939
"ztf",58572.37846060004,1,20.2129
"ztf",58575.352916699834,1,19.4281
"ztf",58575.415705999825,2,20.7062
"ztf",58580.39462959999,2,20.4828
"ztf",58584.33377309982,2,20.3792
"ztf",58602.28723380016,2,20.1614
"ztf",58606.2589699002,2,20.5283
"ztf",58606.30252309982,2,20.6782
"ztf",58606.39905089978,1,20.9777
"ztf",58608.26898150006,2,20.3889
"ztf",58612.275231500156,1,21.0126
"ztf",58853.53965280019,1,20.5114
"ztf",58856.57718749996,2,19.9392
"ztf",58859.499247699976,2,19.6828
"ztf",58863.438217599876,1,19.1728
"ztf",58872.436550899874,1,20.3816
"ztf",58872.56187500013,2,20.0089
"ztf",58875.46034719981,1,20.398
"ztf",58878.50311340019,1,20.2194
"ztf",58878.56275459984,2,20.0978
"ztf",58887.44440970011,1,19.5258
"ztf",58887.53703700006,2,20.1148
"ztf",58890.45967590017,2,19.0215
"ztf",58893.522071800195,2,20.1142
"ztf",58906.49994210014,2,19.7048
"ztf",59227.499594899826,1,20.3273
"ztf",59227.544421299826,2,20.2468
"ztf",59229.51984950015,2,19.5302
"ztf",59231.52685189992,2,20.2739
"ztf",59231.54947920004,1,20.5801
"ztf",59248.44115740014,2,20.0126
"ztf",59248.49707179982,1,20.0188
"ztf",59250.42792819999,2,19.9744
"ztf",59250.48136569979,1,20.2679
"ztf",59254.42758100014,2,19.5399
"ztf",59254.525902799796,1,20.0937
"ztf",59263.47939810017,2,19.8916
"ztf",59265.36025460018,2,20.0569
"ztf",59265.42353009991,1,20.4635
"ztf",59267.38289349992,1,19.6436
"ztf",59269.371076399926,2,19.084
"ztf",59269.43416670011,1,20.1993
"ztf",59271.42428239994,1,19.2266
"ztf",59271.45717590023,2,19.8296
"ztf",59273.39233799977,1,18.676
"ztf",59278.340208299924,1,20.0056
"ztf",59278.458796299994,2,20.153
"ztf",59281.26179399993,2,19.8785
"ztf",59295.319571800064,1,19.7604
"ztf",59295.38900459977,2,20.3007
"ztf",59297.329699099995,1,19.6451
"ztf",59300.34486109996,1,18.9606
"ztf",59300.41396989999,2,19.1818
"ztf",59302.338981499895,1,19.1278
"ztf",59302.41646989994,2,19.4114
"ztf",59304.35915509984,2,19.1687
"ztf",59304.41258100001,1,18.6812
"ztf",59307.323090299964,1,20.7286
"ztf",59307.3446411998,2,20.3658
"ztf",59309.32787040016,1,20.6811
"ztf",59335.29131940007,1,20.4907
"ztf",59335.31637729984,2,19.4513
"ztf",59338.27653940022,2,20.636
"ztf",59338.3993981001,1,20.4498
"ztf",59340.31763890013,2,20.8402
"ztf",59340.374548600055,1,20.6805
"ztf",59342.357789400034,1,20.691
"ztf",59342.39988429984,2,20.5239
"ztf",59344.29532410018,1,20.8658
"ztf",59344.381840299815,2,20.5529
"ztf",59346.33603010001,1,20.7573
"ztf",59346.39409720013,2,20.6557
"ztf",59348.316701400094,2,20.8377
"ztf",59348.34164350014,1,20.7782
"ztf",59350.27655090019,2,20.5032
"ztf",59354.27076390013,2,19.9972
"ztf",59354.36248840019,1,19.8975
"ztf",59358.3128819,2,19.3069
"ztf",59358.39083330007,1,19.038
"ztf",59361.31104170019,1,19.5425
"ztf",59361.33903940022,2,19.7811
"ztf",59365.31221059989,1,20.5775
"ztf",59367.34839119995,2,20.4608
"ztf",59371.20835650014,1,20.8007
"ztf",59371.212789400015,2,20.644
"ztf",59393.21427079989,2,20.6355
"ztf",59393.270138899796,1,20.1992
"ztf",59395.2155439998,2,19.5982
"ztf",59395.25674769981,1,19.3149
"ztf",59397.19045139989,2,20.7008
"ztf",59400.193738400005,2,20.5724
"ztf",59402.20800929982,1,20.6552
"ztf",59402.23164349981,2,20.4685
"ztf",59404.22784719989,2,20.3894
"ztf",59404.33137729997,1,19.1968
"ztf",59406.20857639983,1,20.2397
"ztf",59406.23729170021,2,20.206
"ztf",59408.22681709984,2,20.1659
"ztf",59410.223865699954,2,20.0145
"ztf",59412.21299770009,2,19.8651
"ztf",59412.246053200215,1,19.6491
"ztf",59415.19506940013,2,19.9221
"ztf",59415.26795140002,1,19.1697
"ztf",59417.201307899784,1,18.3312
"ztf",59419.21549770003,1,18.8876
"ztf",59423.26850689994,2,17.7297
"ztf",59623.40354169998,2,19.9308
"ztf",59623.43299769983,1,19.9429
"ztf",59625.36481480021,1,19.1296
"ztf",59625.46489580022,2,19.9101
"ztf",59628.38008099981,1,19.227
"ztf",59628.44454859989,2,18.8209
"ztf",59630.35912040016,2,19.8292
"ztf",59630.44187500002,1,19.9142
"ztf",59637.38064809982,1,20.2209
"ztf",59637.42438660003,2,20.3993
"ztf",59639.421076400205,1,20.2869
"ztf",59639.45552079985,2,19.9317
"ztf",59700.271238400135,1,20.6672
"ztf",59700.275289400015,2,20.4349
"ztf",59702.29921300011,1,20.7621
"ztf",59702.34290509997,2,20.7515
"ztf",59707.2995023001,2,20.4838
"ztf",59709.33078699978,2,19.9918
"ztf",59709.38287039986,2,20.1699
"ztf",59711.23877310008,1,19.5854
"ztf",59711.29526619986,2,19.3755
"ztf",59713.27251160005,2,19.5282
"ztf",59713.34629630018,1,19.3022
"ztf",59715.2884837999,1,19.2191
"ztf",59719.29108799994,2,20.6283
"ztf",59719.30946760019,2,20.4169
"ztf",59722.317036999855,1,20.6293
"ztf",59722.35305560008,1,20.5419
"ztf",59724.29856480006,2,20.5978
"ztf",59724.32027779985,1,20.7228
"ztf",59726.296180599835,1,20.7081
"ztf",59726.35331019992,2,20.6752
